time, humidity, ambient_temp, m8_temp, m5_temp
2022-04-14_14-17-28, 51.200000, 24.000000, 14.500000, 14.560000
2022-04-14_14-17-32, 51.200000, 24.000000, 14.500000, 14.630000
2022-04-14_14-17-36, 51.200000, 24.000000, 14.560000, 14.690000
2022-04-14_14-17-40, 51.200000, 24.000000, 14.560000, 14.690000
2022-04-14_14-17-44, 51.200000, 24.000000, 14.560000, 14.690000
2022-04-14_14-17-48, 51.200000, 24.000000, 14.560000, 14.690000
2022-04-14_14-17-52, 51.100000, 24.000000, 14.630000, 14.690000
2022-04-14_14-17-57, 51.000000, 24.000000, 14.630000, 14.750000
2022-04-14_14-18-01, 50.900000, 24.000000, 14.690000, 14.750000
2022-04-14_14-18-05, 50.900000, 24.000000, 14.690000, 14.750000
2022-04-14_14-18-09, 50.900000, 24.000000, 14.690000, 14.750000
2022-04-14_14-18-13, 50.900000, 24.000000, 14.690000, 14.810000
2022-04-14_14-18-17, 51.000000, 24.000000, 14.750000, 14.810000
2022-04-14_14-18-21, 51.200000, 24.000000, 14.750000, 14.810000
2022-04-14_14-18-25, 51.300000, 24.000000, 14.750000, 14.880000
2022-04-14_14-18-29, 51.400000, 24.000000, 14.810000, 14.880000
2022-04-14_14-18-33, 51.500000, 24.000000, 14.810000, 14.880000
2022-04-14_14-18-38, 51.700000, 24.000000, 14.880000, 14.940000
2022-04-14_14-18-42, 51.500000, 24.000000, 14.880000, 14.940000
2022-04-14_14-18-46, 51.300000, 24.000000, 14.880000, 15.000000
2022-04-14_14-18-50, 51.500000, 24.000000, 14.880000, 15.000000
2022-04-14_14-18-54, 51.500000, 24.000000, 14.880000, 15.000000
2022-04-14_14-18-58, 51.600000, 24.000000, 14.940000, 15.060000
2022-04-14_14-19-02, 51.600000, 24.000000, 14.940000, 15.060000
2022-04-14_14-19-06, 51.600000, 24.000000, 14.940000, 15.060000
2022-04-14_14-19-10, 51.600000, 24.000000, 14.940000, 15.060000
2022-04-14_14-19-15, 51.500000, 24.000000, 15.000000, 15.130000
2022-04-14_14-19-19, 51.500000, 24.100000, 15.000000, 15.130000
2022-04-14_14-19-23, 51.400000, 24.100000, 15.000000, 15.130000
2022-04-14_14-19-27, 51.400000, 24.000000, 15.060000, 15.130000
2022-04-14_14-19-31, 51.300000, 24.000000, 15.060000, 15.130000
2022-04-14_14-19-35, 51.400000, 24.000000, 15.060000, 15.190000
2022-04-14_14-19-39, 51.500000, 24.100000, 15.060000, 15.190000
2022-04-14_14-19-43, 51.400000, 24.000000, 15.130000, 15.190000
2022-04-14_14-19-47, 51.400000, 24.000000, 15.130000, 15.190000
2022-04-14_14-19-52, 51.300000, 24.000000, 15.130000, 15.250000
2022-04-14_14-19-56, 51.200000, 24.000000, 15.130000, 15.250000
2022-04-14_14-20-00, 51.100000, 24.000000, 15.190000, 15.310000
2022-04-14_14-20-04, 51.100000, 24.000000, 15.190000, 15.250000
2022-04-14_14-20-08, 51.000000, 24.000000, 15.190000, 15.310000
2022-04-14_14-20-12, 51.000000, 24.000000, 15.190000, 15.310000
2022-04-14_14-20-16, 51.100000, 24.000000, 15.250000, 15.380000
2022-04-14_14-20-20, 51.000000, 24.000000, 15.250000, 15.380000
2022-04-14_14-20-24, 51.200000, 24.000000, 15.250000, 15.380000
2022-04-14_14-20-28, 51.700000, 24.000000, 15.250000, 15.380000
2022-04-14_14-20-33, 51.700000, 24.000000, 15.310000, 15.440000
2022-04-14_14-20-37, 51.600000, 24.000000, 15.310000, 15.440000
2022-04-14_14-20-41, 51.500000, 24.000000, 15.310000, 15.440000
2022-04-14_14-20-45, 51.400000, 24.000000, 15.380000, 15.440000
2022-04-14_14-20-49, 51.400000, 24.000000, 15.380000, 15.440000
2022-04-14_14-20-53, 51.300000, 24.000000, 15.380000, 15.440000
2022-04-14_14-20-57, 51.200000, 24.000000, 15.440000, 15.500000
2022-04-14_14-21-01, 51.100000, 24.000000, 15.440000, 15.500000
2022-04-14_14-21-05, 51.200000, 24.000000, 15.440000, 15.500000
2022-04-14_14-21-10, 52.500000, 24.100000, 15.440000, 15.560000
