time, humidity, ambient_temp, m8_temp, m5_temp, dew point
2022-05-01_13-30-46, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-30-50, 45.700000, 25.000000, 17.250000, 17.120000, 12.479590
2022-05-01_13-30-54, 45.700000, 25.000000, 17.250000, 17.190000, 12.479590
2022-05-01_13-30-58, 45.700000, 25.000000, 17.250000, 17.190000, 12.479590
2022-05-01_13-31-02, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-31-07, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-31-11, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-31-15, 45.700000, 25.000000, 17.120000, 17.060000, 12.479590
2022-05-01_13-31-19, 45.700000, 25.000000, 17.060000, 17.000000, 12.479590
2022-05-01_13-31-23, 45.700000, 25.000000, 17.000000, 17.000000, 12.479590
2022-05-01_13-31-27, 45.700000, 25.000000, 16.940000, 16.940000, 12.479590
2022-05-01_13-31-31, 45.700000, 25.000000, 16.870000, 16.870000, 12.479590
2022-05-01_13-31-35, 45.700000, 25.000000, 16.750000, 16.810000, 12.479590
2022-05-01_13-31-39, 45.700000, 25.000000, 16.750000, 16.750000, 12.479590
2022-05-01_13-31-44, 45.700000, 25.000000, 16.620000, 16.620000, 12.479590
2022-05-01_13-31-48, 45.700000, 25.000000, 16.560000, 16.500000, 12.479590
2022-05-01_13-31-52, 45.700000, 25.000000, 16.500000, 16.440000, 12.479590
2022-05-01_13-31-56, 45.700000, 25.000000, 16.370000, 16.370000, 12.479590
2022-05-01_13-32-00, 45.700000, 25.000000, 16.250000, 16.310000, 12.479590
2022-05-01_13-32-04, 45.700000, 25.000000, 16.190000, 16.190000, 12.479590
2022-05-01_13-32-08, 45.700000, 25.000000, 16.060000, 16.120000, 12.479590
2022-05-01_13-32-12, 45.700000, 25.000000, 16.000000, 16.000000, 12.479590
2022-05-01_13-32-16, 45.700000, 25.000000, 15.880000, 15.940000, 12.479590
2022-05-01_13-32-20, 45.700000, 25.000000, 15.750000, 15.810000, 12.479590
2022-05-01_13-32-25, 45.700000, 25.000000, 15.630000, 15.690000, 12.479590
2022-05-01_13-32-29, 45.700000, 25.000000, 15.560000, 15.630000, 12.479590
2022-05-01_13-32-33, 45.700000, 25.000000, 15.440000, 15.500000, 12.479590
2022-05-01_13-32-37, 45.700000, 25.000000, 15.380000, 15.440000, 12.479590
